"; General-Purpose Instruction Reference (from AMD64 Architecture Programmeral Volume 3: General-Purpose and System Instructions)"						
"; Written by Florian Negele (c) 2006 - with no warranties. Adaptions to new compiler and extensions by Felix Friedrich"						
";mnemonic"	";Op(1)"	";Op(2)"	";Op(3)"	";Opcode"	";architecture"	";width(bits)"
CMOVP	reg16	 reg/mem16		0F 4A /r	P6	O16
CMOVP	reg32	 reg/mem32		0F 4A /r	P6	O32
CMOVP	reg64	 reg/mem64		0F 4A /r	AMD64	
CMOVPE	reg16	 reg/mem16		0F 4A /r	P6	O16
CMOVPE	reg32	 reg/mem32		0F 4A /r	P6	O32
CMOVPE	reg64	 reg/mem64		0F 4A /r	AMD64	
CMOVNP	reg16	 reg/mem16		0F 4B /r	P6	O16
CMOVNP	reg32	 reg/mem32		0F 4B /r	P6	O32
CMOVNP	reg64	 reg/mem64		0F 4B /r	AMD64	
CMOVPO	reg16	 reg/mem16		0F 4B /r	P6	O16
CMOVPO	reg32	 reg/mem32		0F 4B /r	P6	O32
CMOVPO	reg64	 reg/mem64		0F 4B /r	AMD64	
CMOVL	reg16	 reg/mem16		0F 4C /r	P6	O16
CMOVL	reg32	 reg/mem32		0F 4C /r	P6	O32
CMOVL	reg64	 reg/mem64		0F 4C /r	AMD64	
CMOVNGE	reg16	 reg/mem16		0F 4C /r	P6	O16
CMOVNGE	reg32	 reg/mem32		0F 4C /r	P6	O32
CMOVNGE	reg64	 reg/mem64		0F 4C /r	AMD64	
CMOVNL	reg16	 reg/mem16		0F 4D /r	P6	O16
CMOVNL	reg32	 reg/mem32		0F 4D /r	P6	O32
CMOVNL	reg64	 reg/mem64		0F 4D /r	AMD64	
CMOVGE	reg16	 reg/mem16		0F 4D /r	P6	O16
CMOVGE	reg32	 reg/mem32		0F 4D /r	P6	O32
CMOVGE	reg64	 reg/mem64		0F 4D /r	AMD64	
CMOVLE	reg16	 reg/mem16		0F 4E /r	P6	O16
CMOVLE	reg32	 reg/mem32		0F 4E /r	P6	O32
CMOVLE	reg64	 reg/mem64		0F 4E /r	AMD64	
CMOVNG	reg16	 reg/mem16		0F 4E /r	P6	O16
CMOVNG	reg32	 reg/mem32		0F 4E /r	P6	O32
CMOVNG	reg64	 reg/mem64		0F 4E /r	AMD64	
CMOVNLE	reg16	 reg/mem16		0F 4F /r	P6	O16
CMOVNLE	reg32	 reg/mem32		0F 4F /r	P6	O32
CMOVNLE	reg64	 reg/mem64		0F 4F /r	AMD64	
CMOVG	reg16	 reg/mem16		0F 4F /r	P6	O16
CMOVG	reg32	 reg/mem32		0F 4F /r	P6	O32
CMOVG	reg64	 reg/mem64		0F 4F /r	AMD64	
						
CMP	AL	 imm8		3C ib	8086	
CMP	AX	 imm16		3D iw	8086	O16
CMP	EAX	 imm32		3D id	386	O32
CMP	RAX	 simm32		3D id	AMD64	
CMP	reg/mem8	 imm8		80 /7 ib	8086	
CMP	reg/mem16	 imm16		81 /7 iw	8086	O16
CMP	reg/mem32	 imm32		81 /7 id	386	O32
CMP	reg/mem64	 simm32		81 /7 id	AMD64	
CMP	reg/mem16	 simm8		83 /7 ib	8086	O16
CMP	reg/mem32	 simm8		83 /7 ib	386	O32
CMP	reg/mem64	 simm8		83 /7 ib	AMD64	
CMP	reg/mem8	 reg8		38 /r	8086	
CMP	reg/mem16	 reg16		39 /r	8086	O16
CMP	reg/mem32	 reg32		39 /r	386	O32
CMP	reg/mem64	 reg64		39 /r	AMD64	
CMP	reg8	 reg/mem8		3A /r	8086	
CMP	reg16	 reg/mem16		3B /r	8086	O16
CMP	reg32	 reg/mem32		3B /r	386	O32
CMP	reg64	 reg/mem64		3B /r	AMD64	
						
CMPS	mem8	 mem8		A6	8086	
CMPS	mem16	 mem16		A7	8086	O16
CMPS	mem32	 mem32		A7	386	O32
CMPS	mem64	 mem64		A7	AMD64	
CMPSB				A6	8086	
CMPSW				A7	8086	O16
CMPSD				A7	386	O32
CMPSQ				A7	AMD64	
						
CMPXCHG	reg/mem8	 reg8		0F B0 /r	PENTIUM	
CMPXCHG	reg/mem16	 reg16		0F B1 /r	PENTIUM	O16
CMPXCHG	reg/mem32	 reg32		0F B1 /r	PENTIUM	O32
CMPXCHG	reg/mem64	 reg64		0F B1 /r	AMD64	
						
CMPXCHG8B	mem64			0F C7 /1 m64	PENTIUM	
CMPXCHG16B	mem128			0F C7 /1 m128	SSE2	
						
CPUID				0F A2	PENTIUM	
						
DAA				27	8086	Not64
						
DAS				2F	8086	Not64
						
DEC	reg/mem8			FE /1	8086	
DEC	reg/mem16			FF /1	8086	O16
DEC	reg/mem32			FF /1	386	O32
DEC	reg/mem64			FF /1	AMD64	
DEC	reg16			48 +rw	8086	O16
DEC	reg32			48 +rd	386	O32
						
DIV	reg/mem8			F6 /6	8086	
DIV	reg/mem16			F7 /6	8086	O16
DIV	reg/mem32			F7 /6	386	O32
DIV	reg/mem64			F7 /6	AMD64	
						
ENTER	uimm16	 uimm8		C8 iw ib	186	
						
IDIV	reg/mem8			F6 /7	8086	
IDIV	reg/mem16			F7 /7	8086	O16
IDIV	reg/mem32			F7 /7	386	O32
IDIV	reg/mem64			F7 /7	AMD64	
						
IMUL	reg/mem8			F6 /5	8086	
IMUL	reg/mem16			F7 /5	8086	O16
IMUL	reg/mem32			F7 /5	386	O32
IMUL	reg/mem64			F7 /5	AMD64	
IMUL	reg16	 reg/mem16		0F AF /r	386	O16
IMUL	reg32	 reg/mem32		0F AF /r	386	O32
IMUL	reg64	 reg/mem64		0F AF /r	AMD64	
IMUL	reg16	 reg/mem16	 simm8	6B /r ib	186	O16
IMUL	reg32	 reg/mem32	 simm8	6B /r ib	386	O32
IMUL	reg64	 reg/mem64	 simm8	6B /r ib	AMD64	
IMUL	reg16	 reg/mem16	 simm16	69 /r iw	186	O16
IMUL	reg32	 reg/mem32	 simm32	69 /r id	386	O32
IMUL	reg64	 reg/mem64	 simm32	69 /r id	AMD64	
						
IN	AL	 uimm8		E4 ib	8086,SB	
IN	AX	 uimm8		E5 ib	8086,SB	O16
IN	EAX	 uimm8		E5 ib	386,SB	O32
IN	AL	 DX		EC	8086	
IN	AX	 DX		ED	8086	O16
IN	EAX	 DX		ED	386	O32
						
INC	reg/mem8			FE /0	8086	
INC	reg/mem16			FF /0	8086	O16
INC	reg/mem32			FF /0	386	O32
INC	reg/mem64			FF /0	AMD64	
INC	reg16			40 +rw	8086	O16
INC	reg32			40 +rd	386	O32
						
INS	mem8	 DX		6C	186	
INS	mem16	 DX		6D	186	O16
INS	mem32	 DX		6D	386	O32
INSB				6C	186	
INSW				6D	186	O16
INSD				6D	386	O32
						
INT	uimm8			CD ib	8086,SB	
						
INTO				CE	8086	Not64
						
JO	rel8off			70 cb	8086	
JO	rel16off			0F 80 cw	386	O16
JO	rel32off			0F 80 cd	386	O32
JNO	rel8off			71 cb	8086	
JNO	rel16off			0F 81 cw	386	O16
JNO	rel32off			0F 81 cd	386	O32
JB	rel8off			72 cb	8086	
JB	rel16off			0F 82 cw	386	O16
JB	rel32off			0F 82 cd	386	O32
JC	rel8off			72 cb	8086	
JC	rel16off			0F 82 cw	386	O16
JC	rel32off			0F 82 cd	386	O32
JNAE	rel8off			72 cb	8086	
JNAE	rel16off			0F 82 cw	386	O16
JNAE	rel32off			0F 82 cd	386	O32
JNB	rel8off			73 cb	8086	
JNB	rel16off			0F 83 cw	386	O16
JNB	rel32off			0F 83 cd	386	O32
JNC	rel8off			73 cb	8086	
JNC	rel16off			0F 83 cw	386	O16
JNC	rel32off			0F 83 cd	386	O32
JAE	rel8off			73 cb	8086	
JAE	rel16off			0F 83 cw	386	O16
JAE	rel32off			0F 83 cd	386	O32
JZ	rel8off			74 cb	8086	
JZ	rel16off			0F 84 cw	386	O16
JZ	rel32off			0F 84 cd	386	O32
JE	rel8off			74 cb	8086	
JE	rel16off			0F 84 cw	386	O16
JE	rel32off			0F 84 cd	386	O32
JNZ	rel8off			75 cb	8086	
JNZ	rel16off			0F 85 cw	386	O16
JNZ	rel32off			0F 85 cd	386	O32
JNE	rel8off			75 cb	8086	
JNE	rel16off			0F 85 cw	386	O16
JNE	rel32off			0F 85 cd	386	O32
JBE	rel8off			76 cb	8086	
JBE	rel16off			0F 86 cw	386	O16
JBE	rel32off			0F 86 cd	386	O32
JNA	rel8off			76 cb	8086	
JNA	rel16off			0F 86 cw	386	O16
JNA	rel32off			0F 86 cd	386	O32
JNBE	rel8off			77 cb	8086	
JNBE	rel16off			0F 87 cw	386	O16
JNBE	rel32off			0F 87 cd	386	O32
JA	rel8off			77 cb	8086	
JA	rel16off			0F 87 cw	386	O16
JA	rel32off			0F 87 cd	386	O32
JS	rel8off			78 cb	8086	
JS	rel16off			0F 88 cw	386	O16
JS	rel32off			0F 88 cd	386	O32
JNS	rel8off			79 cb	8086	
JNS	rel16off			0F 89 cw	386	O16
JNS	rel32off			0F 89 cd	386	O32
JP	rel8off			7A cb	8086	
JP	rel16off			0F 8A cw	386	O16
JP	rel32off			0F 8A cd	386	O32
JPE	rel8off			7A cb	8086	
JPE	rel16off			0F 8A cw	386	O16
JPE	rel32off			0F 8A cd	386	O32
JNP	rel8off			7B cb	8086	
JNP	rel16off			0F 8B cw	386	O16
JNP	rel32off			0F 8B cd	386	O32
JPO	rel8off			7B cb	8086	
JPO	rel16off			0F 8B cw	386	O16
JPO	rel32off			0F 8B cd	386	O32
JL	rel8off			7C cb	8086	
JL	rel16off			0F 8C cw	386	O16
JL	rel32off			0F 8C cd	386	O32
JNGE	rel8off			7C cb	8086	
JNGE	rel16off			0F 8C cw	386	O16
JNGE	rel32off			0F 8C cd	386	O32
JNL	rel8off			7D cb	8086	
JNL	rel16off			0F 8D cw	386	O16
JNL	rel32off			0F 8D cd	386	O32
JGE	rel8off			7D cb	8086	
JGE	rel16off			0F 8D cw	386	O16
JGE	rel32off			0F 8D cd	386	O32
JLE	rel8off			7E cb	8086	
JLE	rel16off			0F 8E cw	386	O16
JLE	rel32off			0F 8E cd	386	O32
JNG	rel8off			7E cb	8086	
JNG	rel16off			0F 8E cw	386	O16
JNG	rel32off			0F 8E cd	386	O32
JNLE	rel8off			7F cb	8086	
JNLE	rel16off			0F 8F cw	386	O16
JNLE	rel32off			0F 8F cd	386	O32
JG	rel8off			7F cb	8086	
JG	rel16off			0F 8F cw	386	O16
JG	rel32off			0F 8F cd	386	O32
						
JCXZ	rel8off			E3 cb	8086	A16
JECXZ	rel8off			E3 cb	386	A32
JRCXZ	rel8off			E3 cb	AMD64	
						
JMP	rel8off			EB cb	8086,ND	
JMP	rel16off			E9 cw	8086,ND	O16
JMP	rel32off			E9 cd	8086,ND	O32
JMP	reg/mem16			FF /4	8086	O16
JMP	reg/mem32			FF /4	386	O32
JMP	reg/mem64			FF /4	AMD64	
						
JMPFAR	pntr16:16			EA cd	8086	O16,Not64
JMPFAR	pntr16:32			EA cp	386	O32,Not64
JMPFAR	mem16:16			FF /5	8086	O16
JMPFAR	mem16:32			FF /5	386	O32
						
LAHF				9F	8086	
						
LDS	reg16	 mem16:16		C5 /r	8086	O16,Not64
LDS	reg32	 mem16:32		C5 /r	386	O32,Not64
LES	reg16	 mem16:16		C4 /r	8086	O16,Not64
LES	reg32	 mem16:32		C4 /r	386	O32,Not64
LFS	reg16	 mem16:16		0F B4 /r	386	O16
LFS	reg32	 mem16:32		0F B4 /r	386	O32
LGS	reg16	 mem16:16		0F B5 /r	386	O16
LGS	reg32	 mem16:32		0F B5 /r	386	O32
LSS	reg16	 mem16:16		0F B2 /r	386	O16
LSS	reg32	 mem16:32		0F B2 /r	386	O32
						
LEA	reg16	 mem		8D /r	8086	O16
LEA	reg32	 mem		8D /r	386	O32
LEA	reg64	 mem		8D /r	AMD64	
						
LEAVE				C9	186	
						
LFENCE				0F AE E8	SSE2	
						
LODS	mem8			AC	8086	
LODS	mem16			AD	8086	O16
LODS	mem32			AD	386	O32
LODS	mem64			AD	AMD64	
LODSB				AC	8086	
LODSW				AD	8086	O16
LODSD				AD	386	O32
LODSQ				AD	AMD64	
						
LOOP	rel8off			E2 cb	8086	
LOOPE	rel8off			E1 cb	8086	
LOOPNE	rel8off			E0 cb	8086	
LOOPNZ	rel8off			E0 cb	8086	
LOOPZ	rel8off			E1 cb	8086	
						
MFENCE				0F AE F0	SSE2	
						
MOV	reg/mem8	 reg8		88 /r	8086	
MOV	reg/mem16	 reg16		89 /r	8086	O16
MOV	reg/mem32	 reg32		89 /r	386	O32
MOV	reg/mem64	 reg64		89 /r	AMD64	
MOV	reg8	 reg/mem8		8A /r	8086	
MOV	reg16	 reg/mem16		8B /r	8086	O16
MOV	reg32	 reg/mem32		8B /r	386	O32
MOV	reg64	 reg/mem64		8B /r	AMD64	
MOV	reg/mem16	 segReg		8C /r	8086	O16
MOV	reg/mem32	 segReg		8C /r	386	O32
MOV	reg/mem64	 segReg		8C /r	AMD64	
MOV	segReg	 reg/mem16		8E /r	8086	O16
MOV	segReg	 reg/mem32		8E /r	386	O32
MOV	segReg	 reg/mem64		8E /r	AMD64	
MOV	AL	 moffset8		A0+o	8086	
MOV	AX	 moffset16		A1+o	8086	O16
MOV	EAX	 moffset32		A1+o	386	O32
MOV	RAX	 moffset64		A1+o	AMD64	
MOV	moffset8	 AL		A2+o	8086	
MOV	moffset16	 AX		A3+o	8086	O16
MOV	moffset32	 EAX		A3+o	386	O32
MOV	moffset64	 RAX		A3+o	AMD64	
MOV	reg8	 imm8		B0 +rb ib	8086	
MOV	reg16	 imm16		B8 +rw iw	8086	O16
MOV	reg32	 imm32		B8 +rd id	386	O32
MOV	reg64	 imm64		B8 +rq iq	AMD64	
MOV	reg/mem8	 imm8		C6 /0 ib	8086	
MOV	reg/mem16	 imm16		C7 /0 iw	8086	O16
MOV	reg/mem32	 imm32		C7 /0 id	386	O32
MOV	reg/mem64	 simm32		C7 /0 id	AMD64	
						
MOVD	xmm	 reg/mem32		66 0F 6E /r	SSE2	
MOVD	xmm	 reg/mem64		66 0F 6E /r	AMD64,SSE2	
MOVD	reg/mem32	 xmm		66 0F 7E /r	SSE2	
MOVD	reg/mem64	 xmm		66 0F 7E /r	AMD64,SSE2	
MOVD	mmx	 reg/mem32		0F 6E /r	MMX	
MOVD	mmx	 reg/mem64		0F 6E /r	AMD64, MMX	
MOVD	reg/mem32	 mmx		0F 7E /r	MMX	
MOVD	reg/mem64	 mmx		0F 7E /r	AMD64, MMX	
						
MOVMSKPS	reg32	 xmm		0F 50 /r	SSE	
						
MOVNTI	mem32	 reg32		0F C3 /r	SSE2	
MOVNTI	mem64	 reg64		0F C3 /r	AMD64,SSE2	
						
MOVS	mem8	 mem8		A4	8086	
MOVS	mem16	 mem16		A5	8086	O16
MOVS	mem32	 mem32		A5	386	O32
MOVS	mem64	 mem64		A5	AMD64	
MOVSB				A4	8086	
MOVSW				A5	8086	O16
MOVSD				A5	386	O32
MOVSQ				A5	AMD64	
						
MOVSX	reg16	 reg/mem8		0F BE /r	386	O16
MOVSX	reg32	 reg/mem8		0F BE /r	386	O32
MOVSX	reg64	 reg/mem8		0F BE /r	AMD64	
MOVSX	reg32	 reg/mem16		0F BF /r	386	O32
MOVSX	reg64	 reg/mem16		0F BF /r	AMD64	
						
MOVSXD	reg64	 reg/mem32		63 /r	AMD64	
						
MOVZX	reg16	 reg/mem8		0F B6 /r	386	O16
MOVZX	reg32	 reg/mem8		0F B6 /r	386	O32
MOVZX	reg64	 reg/mem8		0F B6 /r	AMD64	
MOVZX	reg32	 reg/mem16		0F B7 /r	386	O32
MOVZX	reg64	 reg/mem16		0F B7 /r	AMD64	
						
MUL	reg/mem8			F6 /4	8086	
MUL	reg/mem16			F7 /4	8086	O16
MUL	reg/mem32			F7 /4	386	O32
MUL	reg/mem64			F7 /4	AMD64	
MUL	AL	reg/mem8		F6 /4	8086	
MUL	AX	reg/mem16		F7 /4	8086	O16
MUL	EAX	reg/mem32		F7 /4	386	O32
MUL	RAX	reg/mem64		F7 /4	AMD64	
						
NEG	reg/mem8			F6 /3	8086	
NEG	reg/mem16			F7 /3	8086	O16
NEG	reg/mem32			F7 /3	386	O32
NEG	reg/mem64			F7 /3	AMD64	
						
NOP				90	8086	
						
NOT	reg/mem8			F6 /2	8086	
NOT	reg/mem16			F7 /2	8086	O16
NOT	reg/mem32			F7 /2	386	O32
NOT	reg/mem64			F7 /2	AMD64	
						
OR	AL	 imm8		0C ib	8086	
OR	AX	 imm16		0D iw	8086	O16
OR	EAX	 imm32		0D id	386	O32
OR	RAX	 simm32		0D id	AMD64	
OR	reg/mem8	 imm8		80 /1 ib	8086	
OR	reg/mem16	 imm16		81 /1 iw	8086	O16
OR	reg/mem32	 imm32		81 /1 id	386	O32
OR	reg/mem64	 simm32		81 /1 id	AMD64	
OR	reg/mem16	 simm8		83 /1 ib	8086	O16
OR	reg/mem32	 simm8		83 /1 ib	386	O32
OR	reg/mem64	 simm8		83 /1 ib	AMD64	
OR	reg/mem8	 reg8		08 /r	8086	
OR	reg/mem16	 reg16		09 /r	8086	O16
OR	reg/mem32	 reg32		09 /r	386	O32
OR	reg/mem64	 reg64		09 /r	AMD64	
OR	reg8	 reg/mem8		0A /r	8086	
OR	reg16	 reg/mem16		0B /r	8086	O16
OR	reg32	 reg/mem32		0B /r	386	O32
OR	reg64	 reg/mem64		0B /r	AMD64	
						
OUT	uimm8	 AL		E6 ib	8086,SB	
OUT	uimm8	 AX		E7 ib	8086,SB	O16
OUT	uimm8	 EAX		E7 ib	386,SB	O32
OUT	DX	 AL		EE	8086,SB	
OUT	DX	 AX		EF	8086,SB	O16
OUT	DX	 EAX		EF	386,SB	O32
						
OUTS	DX	 mem8		6E	186	
OUTS	DX	 mem16		6F	186	O16
OUTS	DX	 mem32		6F	386	O32
						
OUTSB				6E	186	
OUTSW				6F	186	O16
OUTSD				6F	386	O32
						
PAUSE				F3 90	SSE2	
						
POP	reg/mem16			8F /0	8086	O16
POP	reg/mem32			8F /0	386	O32
